S/N,Code,Description,Table,Classification,Cleaned_Description
25,SK702B,"BRAIN, CORTICAL STIMULATION/MAPPING FOR FUNCTIONAL NEUROSURGERY",7A,Existing,brain cortical stimulationmapping functional neurosurgery
26,SK703B,"BRAIN, DEEP BRAIN STIMULATION, BILATERAL",7C,Existing,brain deep brain stimulation bilateral
27,SK704B,"BRAIN, DEEP BRAIN STIMULATION, UNILATERAL",7A,Existing,brain deep brain stimulation unilateral
28,SK705B,"BRAIN, EPILEPSY, CRANIOTOMY, COMPLEX (AWAKE CRANIOTOMY)",7A,Existing,brain epilepsy craniotomy complex awake craniotomy
29,SK706B,"BRAIN, HYDROCEPHALUS AND OTHER LESIONS, VENTRICULOATRIAL/VENTRICULOPERITONEAL SHUNT, BILATERAL",4C,Existing,brain hydrocephalus lesion ventriculoatrialventriculoperitoneal shunt bilateral
30,SK707B,"BRAIN, HYDROCEPHALUS, EXTERNAL VENTRICULAR DRAINAGE, BILATERAL",4A,Existing,brain hydrocephalus external ventricular drainage bilateral
31,SK708B,"BRAIN, INTRACEREBRAL TUMOR, BIOPSY AND/OR DECOMPRESSION/REMOVAL VIA CRANIOTOMY, COMPLEX",7A,Existing,brain intracerebral tumor biopsy andor decompressionremoval via craniotomy complex
32,SK709B,"BRAIN, INTRACRANIAL EXTRACEREBRAL TUMOR, CRANIOTOMY & REMOVAL, COMPLEX",7A,Existing,brain intracranial extracerebral tumor craniotomy removal complex
33,SK710B,"BRAIN, INTRACRANIAL EXTRACEREBRAL TUMOR, CRANIOTOMY/HEMISPHERECTOMY",6B,Existing,brain intracranial extracerebral tumor craniotomyhemispherectomy
34,SK711B,"BRAIN, VARIOUS LESIONS, PALLIDOTOMY/THALAMOTOMY/OTHER STEREOTACTIC PROCEDURE - BILATERAL",6A,Existing,brain various lesion pallidotomythalamotomyother stereotactic procedure bilateral
35,SK712B,BRAIN/SPINE ENDOSCOPIC CSF (CEREBROSPINAL FLUID LEAK) LEAK REPAIR,6B,Existing,brainspine endoscopic csf cerebrospinal fluid leak leak repair
36,SK800B,"BRAIN AND SPINE, ARACHNOIDAL CYST, OPERATION",6B,Existing,brain spine arachnoidal cyst operation
37,SK801B,"BRAIN, ACOUSTIC TUMOR/CEREBELLO-PONTINE ANGLE TUMOR, EXCISION, SIMPLE",7A,Existing,brain acoustic tumorcerebellopontine angle tumor excision simple
38,SK802B,"BRAIN, ANEURYSM/ARTERIO-VENOUS MALFORMATION, CLIPPING/EXCISION, SIMPLE",6C,Existing,brain aneurysmarteriovenous malformation clippingexcision simple
39,SK803B,"BRAIN, CAROTICO-CAVERNOUS FISTULA, EXTRACRANIAL AND INTRACRANIAL TRAPPING",7B,Existing,brain caroticocavernous fistula extracranial intracranial trapping
40,SK804B,"BRAIN, EPILEPSY, CRANIOTOMY, SIMPLE",6B,Existing,brain epilepsy craniotomy simple
41,SK805B,"BRAIN, HYDROCEPHALUS AND OTHER LESIONS, VENTRICULOATRIAL/VENTRICULOPERITONEAL SHUNT",4A,Existing,brain hydrocephalus lesion ventriculoatrialventriculoperitoneal shunt
42,SK806B,"BRAIN, HYDROCEPHALUS, EXTERNAL VENTRICULAR DRAINAGE, UNILATERAL",3B,Existing,brain hydrocephalus external ventricular drainage unilateral
43,SK807B,"BRAIN, HYDROCEPHALUS, REVISION/REMOVAL OF SHUNT",4A,Existing,brain hydrocephalus revisionremoval shunt
44,SK808B,"BRAIN, HYDROCEPHALUS, SPINO-PERITONEAL SHUNT",4A,Existing,brain hydrocephalus spinoperitoneal shunt
45,SK809B,"BRAIN, HYDROCEPHALUS, THIRD VENTRICULOSTOMY",6A,Existing,brain hydrocephalus third ventriculostomy
46,SK810B,"BRAIN, INTRACEREBRAL TUMOR, BIOPSY AND/OR DECOMPRESSION/REMOVAL VIA CRANIOTOMY, SIMPLE",6B,Existing,brain intracerebral tumor biopsy andor decompressionremoval via craniotomy simple
47,SK811B,"BRAIN, INTRACRANIAL ABSCESS, CRANIECTOMY AND DRAINAGE",6A,Existing,brain intracranial abscess craniectomy drainage
48,SK812B,"BRAIN, INTRACRANIAL ABSCESS, DRAINAGE VIA BURR- HOLE",4A,Existing,brain intracranial abscess drainage via burr hole
49,SK813B,"BRAIN, INTRACRANIAL ABSCESS, EXCISION",6B,Existing,brain intracranial abscess excision
50,SK814B,"BRAIN, INTRACRANIAL EXTRACEREBRAL TUMOR, CRANIOTOMY & REMOVAL, SIMPLE",6B,Existing,brain intracranial extracerebral tumor craniotomy removal simple
51,SK815B,"BRAIN, INTRACRANIAL TUMOR/INTRACRANIAL CYST, BIOPSY/DRAINAGE VIA BURR-HOLE",5C,Existing,brain intracranial tumorintracranial cyst biopsydrainage via burrhole
52,SK816B,"BRAIN, TUMOR, VENTRICULAR PUNCTURE THROUGH BURR-HOLE",4C,Existing,brain tumor ventricular puncture burrhole
53,SK817B,"BRAIN, VARIOUS LESIONS, PALLIDOTOMY/THALAMOTOMY/OTHER STEREOTACTIC PROCEDURE - UNILATERAL",6A,Existing,brain various lesion pallidotomythalamotomyother stereotactic procedure unilateral
54,SK818B,"BRAIN, VARIOUS LESIONS, INSERTION OF OMMAYA RESERVOIR",4A,Existing,brain various lesion insertion ommaya reservoir
55,SK700C,"BRACHIAL PLEXUS, BLOCK, CATHETER",1C,Existing,brachial plexus block catheter
56,SK701C,"BRACHIAL PLEXUS, BLOCK, NO CATHETER",1B,Existing,brachial plexus block catheter
57,SK703C,"BRACHIAL PLEXUS, EXPLORATION AND NEUROLYSIS",7B,Existing,brachial plexus exploration neurolysis
58,SK703E,"ELECTROCONVULSIVE THERAPY, WITH OR WITHOUT THE USE OF STIMULUS DOSING TECHNIQUES, INCLUDING ANY NECESSARY MONITORING",1A,Uptable,electroconvulsive therapy without use stimulus dosing technique including necessary monitoring
59,SK759E,EXAMINATION UNDER ANAESTHESIA (GENERAL OR REGIONAL) WITHOUT OTHER SURGICAL PROCEDURES14,1A,Existing,examination anaesthesia general regional without surgical procedures14
60,SK700F,"FACIAL, TRIGEMINAL GANGLION BLOCK, ANAESTHETIC",3A,Existing,facial trigeminal ganglion block anaesthetic
61,SK701F,"FACIAL, TRIGEMINAL NERVE BLOCK, NEUROLYTIC",2A,Existing,facial trigeminal nerve block neurolytic
62,SK702F,"FACIAL, TRIGEMINAL GANGLION BLOCK, NEUROLYTIC",3C,Existing,facial trigeminal ganglion block neurolytic
63,SK703F,"FACIAL, TRIGEMINAL NERVE BLOCK, ANAESTHETIC",1B,Existing,facial trigeminal nerve block anaesthetic
64,SK700L,"SYMPATHETIC NERVES, BLOCK, CATHETER (UNILATERAL/BILATERAL)",2B,Existing,sympathetic nerve block catheter unilateralbilateral
65,SK701L,"LUMBAR PLEXUS, BLOCK, CATHETER",1C,Existing,lumbar plexus block catheter
66,SK702L,"LUMBAR PLEXUS, BLOCK, NO CATHETER",1B,Existing,lumbar plexus block catheter
67,SK703L,"SYMPATHETIC NERVES, BLOCK, ANAESTHETIC (UNILATERAL/BILATERAL)",1B,Existing,sympathetic nerve block anaesthetic unilateralbilateral
68,SK704L,"SYMPATHETIC NERVES, BLOCK, NEUROLYTIC (UNILATERAL/BILATERAL)",2A,Existing,sympathetic nerve block neurolytic unilateralbilateral
69,SK800M,"MENINGES, MYELOMENINGOCELE, EXCISION OF SAC",6A,Existing,meninges myelomeningocele excision sac
70,SK801M,"MENINGES, MYELOMENINGOCELE, EXTENSIVE REPAIR WITH SKIN FLAPS/Z-PLASTY",6B,Existing,meninges myelomeningocele extensive repair skin flapszplasty
71,SK700N,"NERVE ROOT, BLOCK (INJECTION OF ANAESTHETIC, THERAPEUTIC SUBSTANCE) - CERVICAL, > 1 LEVEL",2B,Existing,nerve root block injection anaesthetic therapeutic substance cervical 1 level
72,SK701N,"NERVE ROOT, BLOCK (INJECTION OF ANAESTHETIC, THERAPEUTIC SUBSTANCE) - CERVICAL, 1 LEVEL",2A,Existing,nerve root block injection anaesthetic therapeutic substance cervical 1 level
73,SK704N,"COELIAC PLEXUS, BLOCK, ANAESTHETIC",2A,Existing,coeliac plexus block anaesthetic
74,SK706N,"COELIAC PLEXUS, BLOCK, NEUROLYTIC",2B,Existing,coeliac plexus block neurolytic
75,SK707N,"NERVE (OROFACIAL), DEFECT, GRAFT (MULTIPLE) USING MICROSURGICAL TECHNIQUES (INCLUDE HARVESTING)",6A,Existing,nerve orofacial defect graft multiple using microsurgical technique include harvesting
76,SK708N,"NERVE (OROFACIAL), DEFECT, GRAFT (SINGLE)/NERVE SHARE, USING MICROSURGICAL TECHNIQUES (INCLUDE HARVESTING)",5A,Existing,nerve orofacial defect graft singlenerve share using microsurgical technique include harvesting
77,SK709N,"NERVE (OROFACIAL), INJURY, DECOMPRESSION (MULTIPLE/SINGLE INTRAOSSEOUS)",4A,Existing,nerve orofacial injury decompression multiplesingle intraosseous
78,SK710N,"NERVE (OROFACIAL), INJURY, DECOMPRESSION (SINGLE)",3A,Existing,nerve orofacial injury decompression single
79,SK711N,"NERVE (OROFACIAL), INJURY, MICROSURGICAL REPAIR (MULTIPLE/ SINGLE INTRAOSSEOUS)",5A,Existing,nerve orofacial injury microsurgical repair multiple single intraosseous
80,SK712N,"NERVE (OROFACIAL), INJURY, MICROSURGICAL REPAIR (SINGLE)",4A,Existing,nerve orofacial injury microsurgical repair single
81,SK713N,"NERVE (LOWER LIMB), DISRUPTION, MAJOR RECONSTRUCTION WITH REPAIR AND/OR NEUROVASCULAR TRANSFER",6B,Existing,nerve lower limb disruption major reconstruction repair andor neurovascular transfer
82,SK714N,"NERVE (LOWER LIMB), DISRUPTION, MAJOR REPAIR (SINGLE)",4A,Existing,nerve lower limb disruption major repair single
83,SK715N,"NERVE (LOWER LIMB), ENTRAPMENT SYNDROME, DECOMPRESSION",3C,Existing,nerve lower limb entrapment syndrome decompression
84,SK716N,"NERVE (UPPER LIMB), CARPAL TUNNEL SYNDROME, RELEASE, BILATERAL, (WITH ENDONEUROLYSIS)",4A,Existing,nerve upper limb carpal tunnel syndrome release bilateral endoneurolysis
85,SK717N,"NERVE (UPPER LIMB), CARPAL TUNNEL SYNDROME, RELEASE, UNILATERAL, (WITH ENDONEUROLYSIS)",3A,Existing,nerve upper limb carpal tunnel syndrome release unilateral endoneurolysis
86,SK718N,"NERVE DEFECT, PERIPHERAL GRAFT (MICROSURGERY)",5C,Existing,nerve defect peripheral graft microsurgery
87,SK719N,"NERVE (UPPER LIMB), DEFECT, GRAFT (SINGLE) USING MICROSURGICAL TECHNIQUES",4B,Existing,nerve upper limb defect graft single using microsurgical technique
88,SK720N,"NERVE (UPPER LIMB), DEFECT, GRAFTING/INTERFASCICULAR REPAIR/NEUROVASCULAR TRANSFER",6B,Existing,nerve upper limb defect graftinginterfascicular repairneurovascular transfer
89,SK721N,"NERVE (UPPER LIMB), ENTRAPMENT SYNDROME (OTHERS), DECOMPRESSION (BILATERAL)",3C,Existing,nerve upper limb entrapment syndrome others decompression bilateral
90,SK722N,"NERVE (UPPER LIMB), ENTRAPMENT SYNDROME (OTHERS), DECOMPRESSION (UNILATERAL)",3A,Existing,nerve upper limb entrapment syndrome others decompression unilateral
91,SK724N,"NERVE (UPPER LIMB), GUYON'S TUNNEL SYNDROME, RELEASE (BILATERAL WITH ENDONEUROLYSIS)",4A,Existing,nerve upper limb guyons tunnel syndrome release bilateral endoneurolysis
92,SK725N,"NERVE (UPPER LIMB), GUYON'S TUNNEL SYNDROME, RELEASE (UNILATERAL)",3A,Existing,nerve upper limb guyons tunnel syndrome release unilateral
93,SK726N,"NERVE (UPPER LIMB)-MAJOR, INJURY, MICROSURGICAL REPAIR (MULTIPLE)",5C,Existing,nerve upper limbmajor injury microsurgical repair multiple
94,SK727N,"NERVE (UPPER LIMB)-MAJOR, INJURY, MICROSURGICAL REPAIR (SINGLE)",4B,Existing,nerve upper limbmajor injury microsurgical repair single
95,SK729N,"NERVE ROOTS, DORSAL ROOT GANGLION, ANAESTHETIC, MORE THAN TWO",3C,Existing,nerve root dorsal root ganglion anaesthetic two
96,SK730N,"NERVE ROOTS, DORSAL ROOT GANGLION, ANAESTHETIC, ONE TO TWO",2B,Existing,nerve root dorsal root ganglion anaesthetic one two
97,SK731N,"NERVE ROOTS, DORSAL ROOT GANGLION, PULSED RADIOFREQUENCY, NEUROLYTIC, MORE THAN TWO",3B,"Downtable,
Descriptor change",nerve root dorsal root ganglion pulsed radiofrequency neurolytic two
98,SK732N,"NERVE ROOTS, DORSAL ROOT GANGLION, PULSED RADIOFREQUENCY, NEUROLYTIC, ONE TO TWO",3A,"Downtable, Descriptor
change",nerve root dorsal root ganglion pulsed radiofrequency neurolytic one two
99,SK733N,"PERIPHERAL NERVE, BLOCK, ANAESTHETIC (UP TO 2 NERVES)",1A,Existing,peripheral nerve block anaesthetic 2 nerve
100,SK735N,"PERIPHERAL NERVE, BLOCK, ANAESTHETIC (MORE THAN 2 NERVES)",1C,Existing,peripheral nerve block anaesthetic 2 nerve
101,SK736N,"PERIPHERAL NERVE, BLOCK, NEUROLYTIC (UP TO 2 NERVES)",1B,Existing,peripheral nerve block neurolytic 2 nerve
102,SK737N,"NERVE ROOT, BLOCK (INJECTION OF ANAESTHETIC, THERAPEUTIC SUBSTANCE), LUMBAR/THORACIC, > 1 LEVEL",2A,Existing,nerve root block injection anaesthetic therapeutic substance lumbarthoracic 1 level
103,SK738N,"NERVE ROOT, BLOCK (INJECTION OF ANAESTHETIC, THERAPEUTIC SUBSTANCE), LUMBAR/THORACIC, 1 LEVEL",1C,Existing,nerve root block injection anaesthetic therapeutic substance lumbarthoracic 1 level
104,SK740N,"PERIPHERAL NERVE, BLOCK, NEUROLYTIC (MORE THAN 2 NERVES)",2B,Existing,peripheral nerve block neurolytic 2 nerve
105,SK741N,"NERVE, VAGUS NERVE STIMULATOR",6A,Existing,nerve vagus nerve stimulator
106,SK742N,"NEUROSTIMULATOR, INSERTION OF INTERNAL PULSE GENERATOR, INVOLVES OPENING OF WOUND, TUNNELING, OPENING OF POUCH FOR IPG & TESTING OF SYSTEM",4B,Existing,neurostimulator insertion internal pulse generator involves opening wound tunneling opening pouch ipg testing system
107,SK743N,"NEUROSTIMULATOR, REVISION/REPLACEMENT OF IMPLANTABLE PULSE GENERATOR (DOES NOT INVOLVE TUNNELING)",3B,Existing,neurostimulator revisionreplacement implantable pulse generator involve tunneling
108,SK744N,"NERVE-DIGITAL, INJURY, MICROSURGICAL REPAIR (MULTIPLE)",4B,Existing,nervedigital injury microsurgical repair multiple
109,SK745N,"NERVE-DIGITAL, INJURY, MICROSURGICAL REPAIR (SINGLE)",2C,Existing,nervedigital injury microsurgical repair single
110,SK746N,"NERVE-FACIAL PARALYSIS, FREE FASCIA AND/OR NERVE GRAFT (MICROSURGICAL – STAGE 1)",3B,Existing,nervefacial paralysis free fascia andor nerve graft microsurgical stage 1
111,SK747N,"NERVE-FACIAL PARALYSIS, FREE MUSCLE FLAP (MICROSURGICAL – STAGE 2)",7B,Existing,nervefacial paralysis free muscle flap microsurgical stage 2
112,SK748N,"NERVE-FACIAL PARALYSIS, FREE FASCIA SLING/GRAFT (SINGLE/UNILATERAL)",3A,Existing,nervefacial paralysis free fascia slinggraft singleunilateral
113,SK749N,"NERVE-FACIAL PARALYSIS, LOCAL MUSCLE TRANSFER",5A,Existing,nervefacial paralysis local muscle transfer
114,SK758N,"NERVE, FAECAL INCONTINENCE OR OTHER, PERCUTANEOUS TIBIAL NERVE STIMULATION",1A,Existing,nerve faecal incontinence percutaneous tibial nerve stimulation
115,SK800N,"NERVE, VARIOUS LESIONS, BIOPSY",1B,Existing,nerve various lesion biopsy
116,SK801N,"NERVE, VARIOUS LESIONS, PRIMARY/SECONDARY SUTURE",4A,Existing,nerve various lesion primarysecondary suture
117,SK802N,"NERVE-CRANIAL, VARIOUS LESIONS, MICROVASCULAR DECOMPRESSION/NEURECTOMY",6B,Existing,nervecranial various lesion microvascular decompressionneurectomy
118,SK803N,"NERVE-CUTANEOUS, INJURY, PRIMARY SUTURE",3B,Existing,nervecutaneous injury primary suture
119,SK804N,"NERVE-DIGITAL, INJURY, PRIMARY REPAIR",2C,Existing,nervedigital injury primary repair
120,SK805N,"NERVE-FACIAL (MASTOID PORTION), ENTRAPMENT, DECOMPRESSION",5C,Existing,nervefacial mastoid portion entrapment decompression
121,SK806N,"NERVE-FACIAL, VARIOUS LESIONS, COMBINED MIDDLE FOSA AND TRANSMASTOID FACIAL NERVE DECOMPRESSION",7C,Existing,nervefacial various lesion combined middle fosa transmastoid facial nerve decompression
122,SK807N,"NERVE-PERIPHERAL (DEEP), TUMOR, EXCISION",4A,Existing,nerveperipheral deep tumor excision
123,SK808N,"NERVE-PERIPHERAL (SUPERFICIAL), TUMOR, EXCISION",3A,Existing,nerveperipheral superficial tumor excision
124,SK809N,"NERVE-SYMPATHETIC, VARIOUS LESIONS, SYMPATHECTOMY, WITH/WITHOUT VIDEO-ASSISTANCE, BILATERAL",5A,Existing,nervesympathetic various lesion sympathectomy withwithout videoassistance bilateral
125,SK810N,"NERVE-SYMPATHETIC, VARIOUS LESIONS, SYMPATHECTOMY, WITH/WITHOUT VIDEO-ASSISTANCE, UNILATERAL",4B,Existing,nervesympathetic various lesion sympathectomy withwithout videoassistance unilateral
126,SK811N,"NERVE-TRIGEMINAL (GANGLION), NEUROLAGIA, INJECTION WITH ALCOHOL/RADIOFREQUENCY GANGLIONOTOMY, IMAGING GUIDED",4B,Existing,nervetrigeminal ganglion neurolagia injection alcoholradiofrequency ganglionotomy imaging guided
127,SK812N,"NERVE, ULNAR, ENTRAPMENT, TRANSPOSITION",5A,Existing,nerve ulnar entrapment transposition
128,SK800P,"BRACHIAL PLEXUS, EXPLORATION AND/OR NEUROTISATION AND/OR MULTIPLE NERVE GRAFTING/CROSSED NERVE TRANSFERS, AND/OR THORACIC OUTLET DECOMPRESSION +/- SCALENECTOMY",6B,Descriptor change,brachial plexus exploration andor neurotisation andor multiple nerve graftingcrossed nerve transfer andor thoracic outlet decompression scalenectomy
129,SK701S,"SPINE, IMPLANTATION OF PORT E.G. PORT-A-CATH",2B,Existing,spine implantation port eg portacath
130,SK702S,"SPINE, FACET JOINT BLOCK (INJECTION OF ANAESTHETIC OR THERAPEUTIC SUBSTANCE), UP TO 3 JOINTS",2B,Existing,spine facet joint block injection anaesthetic therapeutic substance 3 joint
131,SK703S,"SPINE, FACET JOINT BLOCK (INJECTION OF ANAESTHETIC OR THERAPEUTIC SUBSTANCE), MORE THAN 3 JOINTS",2C,Existing,spine facet joint block injection anaesthetic therapeutic substance 3 joint
132,SK704S,"SPINE, FACET JOINT, RADIOFREQUENCY, UP TO 3 JOINTS",3C,Existing,spine facet joint radiofrequency 3 joint
133,SK705S,"SPINE, FACET JOINT, RADIOFREQUENCY, MORE THAN 3 JOINTS",4A,Existing,spine facet joint radiofrequency 3 joint
134,SK706S,"SACRAL ROOT BLOCK, NEUROLYTIC, RADIOFREQUENCY, IMAGING GUIDED, UP TO 2",2C,Existing,sacral root block neurolytic radiofrequency imaging guided 2
135,SK707S,"SACRAL ROOT BLOCK, NEUROLYTIC, RADIOFREQUENCY, IMAGING GUIDED, MORE THAN 2",4A,Existing,sacral root block neurolytic radiofrequency imaging guided 2
136,SK709S,"SACRUM, GANGLION IMPAR, BLOCK, ANAESTHETIC",3A,Existing,sacrum ganglion impar block anaesthetic
137,SK710S,"SCIATIC NERVE, BLOCK",1A,Existing,sciatic nerve block
138,SK711S,"PARAVERTEBRAL REGION, BLOCK, ANAESTHETIC (MORE THAN 2 LEVELS)",2A,Existing,paravertebral region block anaesthetic 2 level
139,SK714S,"PARAVERTEBRAL REGION, BLOCK, ANAESTHETIC (UP TO 2 LEVELS)",1B,Existing,paravertebral region block anaesthetic 2 level
140,SK715S,"SACRO-ILIAC JOINT, RADIOFREQUENCY, BILATERAL",4A,Existing,sacroiliac joint radiofrequency bilateral
141,SK716S,"SACRO-ILIAC JOINT, SACROILIAC JOINT BLOCK (INJECTION OF ANAESTHETIC, THERAPEUTIC SUBSTANCE), BILATERAL",2B,Existing,sacroiliac joint sacroiliac joint block injection anaesthetic therapeutic substance bilateral
142,SK717S,"SACRO-ILIAC JOINT, SACROILIAC JOINT BLOCK (INJECTION OF ANAESTHETIC, THERAPEUTIC SUBSTANCE), UNILATERAL",1B,Existing,sacroiliac joint sacroiliac joint block injection anaesthetic therapeutic substance unilateral
143,SK718S,"SACRO-ILIAC JOINT, RADIOFREQUENCY, UNILATERAL",3A,Existing,sacroiliac joint radiofrequency unilateral
144,SK719S,"SKULL, CRANIOSTENOSIS, OPERATION, CRANIOFACIAL RECONSTRUCTION",7A,Existing,skull craniostenosis operation craniofacial reconstruction
145,SK720S,"SKULL, INTRACRANIAL HEMORRHAGE, OSTEOPLASTIC CRANIOTOMY/EXTENSIVE CRANIECTOMY, BILATERAL",6A,Existing,skull intracranial hemorrhage osteoplastic craniotomyextensive craniectomy bilateral
146,SK721S,"SKULL, BURR HOLE, INSERTION OF INTRACRANIAL PRESSURE (ICP) MONITOR",3B,Existing,skull burr hole insertion intracranial pressure icp monitor
147,SK722S,"SKULL, CHIARI MALFORMATION/SYRINGOMYELIA, POSTERIOR FOSSA DECOMPRESSION WITH DURAPLASTY",7A,Existing,skull chiari malformationsyringomyelia posterior fossa decompression duraplasty
148,SK723S,"SPHENOPALATINE GANGLION - BLOCK, NEUROLYTIC",3C,Existing,sphenopalatine ganglion block neurolytic
149,SK724S,"SPINAL CORD, STIMULATION/MODULATION",5C,Descriptor change,spinal cord stimulationmodulation
150,SK726S,"SPINAL CORD, TUMOURS, LAMINECTOMY AND EXCISION (EXTRADURAL)",6B,Existing,spinal cord tumour laminectomy excision extradural
151,SK727S,"SPINAL CORD, TUMOURS, LAMINECTOMY AND EXCISION (INTRADURAL EXTRAMEDULLARY)",6C,Existing,spinal cord tumour laminectomy excision intradural extramedullary
152,SK728S,"SPINAL CORD, TUMOURS, LAMINECTOMY AND EXCISION (INTRADURAL INTRAMEDULLARY)",7A,Existing,spinal cord tumour laminectomy excision intradural intramedullary
153,SK729S,SPINAL- IMPLANT OF ELECTRICAL PUMP DEVICE,5C,Existing,spinal implant electrical pump device
154,SK730S,"SPINAL/EPIDURAL REMOVAL, REVISION OF IMPLANTED RESERVOIR DEVICE (E.G. PAR)",2C,Existing,spinalepidural removal revision implanted reservoir device eg par
155,SK731S,"SPINE, THORACIC/LUMBAR, EPIDURAL ADHESIOLYSIS, MULTIPLE CATHETER",3C,Existing,spine thoraciclumbar epidural adhesiolysis multiple catheter
156,SK732S,"SPINE, CERVICAL, EPIDURAL ADHESIOLYSIS, SINGLE CATHETER",4B,Existing,spine cervical epidural adhesiolysis single catheter
157,SK733S,"SPINE, THORACIC/LUMBAR, EPIDURAL ADHESIOLYSIS, SINGLE CATHETER",3B,Existing,spine thoraciclumbar epidural adhesiolysis single catheter
158,SK734S,"SPINAL/EPIDURAL, EPIDUROSCOPY",2A,Existing,spinalepidural epiduroscopy
159,SK735S,"SACRUM, GANGLION IMPAR, BLOCK, RADIOFREQUENCY, NEUROLYTIC",3C,Existing,sacrum ganglion impar block radiofrequency neurolytic
160,SK737S,"SPINE, PERCUTANEOUS IMPLANT OF SPINAL CORD STIMULATOR, (TRIAL), SINGLE LEAD",3B,Existing,spine percutaneous implant spinal cord stimulator trial single lead
161,SK738S,"SPINE, PERCUTANEOUS IMPLANT OF SPINAL CORD STIMULATOR, (TRIAL), DOUBLE LEADS",3C,Existing,spine percutaneous implant spinal cord stimulator trial double lead
162,SK739S,"SPINE, REMOVAL OF SPINAL CORD STIMULATOR ELECTRICAL GENERATOR",3A,Existing,spine removal spinal cord stimulator electrical generator
163,SK740S,"SPINE, REPLACEMENT OF COMPUTERIZED RESERVOIR DEVICE (E.G. SYNCHROMED)",3B,Existing,spine replacement computerized reservoir device eg synchromed
164,SK741S,"SPINE, REPLACEMENT OF SPINAL CORD STIMULATOR, ELECTRICAL GENERATOR",3B,Existing,spine replacement spinal cord stimulator electrical generator
165,SK747S,"SPINE, VARIOUS LESIONS, SYRINGO- ARACHNOID/PLEURAL/PERITONEAL SHUNT",6A,Existing,spine various lesion syringo arachnoidpleuralperitoneal shunt
