S/N,Code,Description,Table,Classification,Cleaned_Description,X,Y
47,SL716E,"EYELID, PTOSIS, CONJUNCTIVAL MULLERECTOMY (BILATERAL)",4B,Existing,eyelid ptosis conjunctival mullerectomy bilateral,-2.2616696,11.928142
56,SI810O,"OVARY, VARIOUS LESIONS, WEDGE RESECTION",3B,Existing,ovary various lesion wedge resection,-1.272978,9.036013
13,SE712L,"LYMPH NODE, VARIOUS LESIONS, IMAGING GUIDED PERCUTANEOUS BIOPSY, SUPERFICIAL",1B,Existing,lymph node various lesion imaging guided percutaneous biopsy superficial,2.7954254,14.1898155
270,SB817J,"JOINTS (OTHER THAN FINGER), VARIOUS LESIONS, TOTAL JOINT REPLACEMENT",6A,Existing,joint finger various lesion total joint replacement,3.695532,7.081582
128,SD808H,"HEART, SIMPLE CONGENITAL OPEN-HEART SURGERY (ATRIAL SEPTAL DEFECT & VENTRICULAR SEPTAL DEFECT)",6B,Existing,heart simple congenital openheart surgery atrial septal defect ventricular septal defect,0.29503447,6.7941523
130,SM712S,"SINUSES, NASAL, VARIOUS LESIONS, ANTROSTOMY (RADICAL)",3A,Existing,sinus nasal various lesion antrostomy radical,4.4771824,12.250135
440,SB737S,"SPINE, PERCUTANEOUS DISC ABLATION, 2 OR MORE LEVELS (EG. IDET - INTRADISCAL ELECTROTHERMAL ANNULOPLASTY)",4C,Existing,spine percutaneous disc ablation 2 level eg idet intradiscal electrothermal annuloplasty,-1.7164782,5.599813
153,SL810O,"ORBIT, VARIOUS LESIONS, RECONSTRUCTION OF FLOOR/ROOF WITH ALLOPLASTIC MATERIAL",4A,Existing,orbit various lesion reconstruction floorroof alloplastic material,-1.364376,13.666132
141,SF802E,"ESOPHAGUS, BENIGN TUMOUR, RESECTION",5B,"Descriptor
change",esophagus benign tumour resection,-0.19015525,8.078582
81,SF707B,"BILE DUCT/GALL BLADDER, ENDOSCOPIC DILATION OF BILIARY STRICTURE",3C,Existing,bile ductgall bladder endoscopic dilation biliary stricture,-3.4951587,7.6892
338,SF723T,"TONGUE, TRANSORAL RESECTION OF TONGUE BASE MUSCLE WITH OR WITHOUT LINGUAL TONSIL EXCISION",4C,Existing,tongue transoral resection tongue base muscle without lingual tonsil excision,-0.64477694,13.159941
103,SL853E,"EYELIDS, VARIOUS LESIONS, RECONSTRUCTION USING FULL THICKNESS FLAP",5A,Existing,eyelid various lesion reconstruction using full thickness flap,-0.35448042,11.484966
93,SG705U,"URETHRA, SUBSTITUTION URETHROPLASTY, FLAP OR GRAFT",5C,Existing,urethra substitution urethroplasty flap graft,-4.3209324,10.438618
90,SM707N,"NOSE, POLYPI (COMPLEX), NASOENDOSCOPY WITH EXCISION BIOPSY, MORE THAN 2",2B,Existing,nose polypus complex nasoendoscopy excision biopsy 2,-1.2371665,12.207059
223,SF712M,"MOUTH, SUBMUCOSAL RESECTION, ENDOSCOPIC EXCISION WITH BIOPSY",4A,Existing,mouth submucosal resection endoscopic excision biopsy,0.018094808,10.673528
48,SM835E,"ENDOLYMPHATIC SAC, VARIOUS LESIONS, TRANSMASTOID SHUNT PROCEDURE",5C,Existing,endolymphatic sac various lesion transmastoid shunt procedure,-2.8130927,12.09995
39,SH827P,"PROSTATE GLAND, HYPERTROPHY, INSERTION OF PROSTATIC STENT",2C,Existing,prostate gland hypertrophy insertion prostatic stent,1.8800907,14.658391
161,SA866S,"SKIN, PLANTAR WART, EXCISION OR VAPORISATION BY LASER",1A,Existing,skin plantar wart excision vaporisation laser,-3.7382126,11.008163
67,SI703U,"UTERUS, FETAL SURGERY",3B,Existing,uterus fetal surgery,-4.2091966,12.084146
130,SD810H,"HEART, SIMPLE SINGLE-VESSEL PERCUTANEOUS CORONARY INTERVENTION (PCI), WITH/WITHOUT CORONARY ANGIOGRAPHY, WITH/WITHOUT PHYSIOLOGICAL AND/OR IMAGING STUDIES",4A,Descriptor change,heart simple singlevessel percutaneous coronary intervention pci withwithout coronary angiography withwithout physiological andor imaging study,0.75550663,7.13293
86,SM703N,"NOSE, FOREIGN BODY, REMOVAL",MSP,Existing,nose foreign body removal,5.1939225,11.0031
51,SD809A,"ARTERY (MAJOR), ANEURYSM, EXCISION AND INSERTION OF GRAFT",5C,Existing,artery major aneurysm excision insertion graft,1.6848451,7.4929347
81,SK713N,"NERVE (LOWER LIMB), DISRUPTION, MAJOR RECONSTRUCTION WITH REPAIR AND/OR NEUROVASCULAR TRANSFER",6B,Existing,nerve lower limb disruption major reconstruction repair andor neurovascular transfer,3.8582182,9.105816
46,SK810B,"BRAIN, INTRACEREBRAL TUMOR, BIOPSY AND/OR DECOMPRESSION/REMOVAL VIA CRANIOTOMY, SIMPLE",6B,Existing,brain intracerebral tumor biopsy andor decompressionremoval via craniotomy simple,-2.5706913,12.803827
99,SA803S,"SKIN AND SUBCUTANEOUS TISSUE (EAR/NOSE/EYELID/FACE), COMPLEX LACERATIONS, REPAIR",3B,Existing,skin subcutaneous tissue earnoseeyelidface complex laceration repair,0.33070266,11.847423
19,SM805E,"EAR, CONGENITAL ATRESIA, RECONSTRUCTION OF EXTERNAL AUDITORY CANAL AND MIDDLE EAR",4B,Existing,ear congenital atresia reconstruction external auditory canal middle ear,-0.82685006,12.26551
54,SB826B,"BONE AND JOINTS (UPPER LIMB), REMOVAL OF SIMPLE IMPLANTS (E.G. RUSH RODS/WIRES/K- WIRES/PINS/SCREWS)",1C,Existing,bone joint upper limb removal simple implant eg rush rodswiresk wirespinsscrews,3.5950274,10.106916
104,SA808S,"SKIN AND SUBCUTANEOUS TISSUE, BURNS, EXCISION AND MAJOR FLAP REPAIR",5A,Existing,skin subcutaneous tissue burn excision major flap repair,1.45751,12.514445
11,SG710B,"BLADDER, CYSTOSCOPY, WITH CONTROLLED HYDRODILATATION OF THE BLADDER",1B,Existing,bladder cystoscopy controlled hydrodilatation bladder,-1.5436498,8.195581
9,SG708B,"BLADDER, CYSTOSCOPY, EXTERNAL SPHINCTEROTOMY FOR NEUROGENIC BLADDER NECK OBSTRUCTION",2C,Existing,bladder cystoscopy external sphincterotomy neurogenic bladder neck obstruction,-1.5421369,8.169299
11,SI802C,"CERVIX, CERVICAL INCOMPETENCE, CERCLAGE",2B,Existing,cervix cervical incompetence cerclage,-3.0234375,9.976816
387,SB845M,"MUSCLE (LOWER LIMB), VARIOUS LESIONS, MARGINAL EXCISION",2A,Existing,muscle lower limb various lesion marginal excision,3.6435294,9.786274
428,SB716S,"SHOULDER, VARIOUS LESIONS, REVISION TOTAL JOINT REPLACEMENT",6C,Descriptor change,shoulder various lesion revision total joint replacement,3.65695,6.8873005
59,SI813O,"OVARY, TUMOUR/CYST, CYSTECTOMY, COMPLEX BILATERAL ( BILATERAL CYSTS BOTH>5CM)",4C,New,ovary tumourcyst cystectomy complex bilateral bilateral cyst both5cm,-1.4283229,9.448253
63,SL807E,"EYE, INTRAOCULAR FOREIGN BODY, REMOVAL FROM POSTERIOR SEGMENT",3B,Existing,eye intraocular foreign body removal posterior segment,5.1923885,11.050854
204,SB815H,"HAND, POLYDACTYLY, AMPUTATION WITH RECONSTRUCTION",4A,Existing,hand polydactyly amputation reconstruction,3.0398421,10.175048
77,SF703B,"BILE DUCTS, STRICTURE, PERCUTANEOUS TRANSHEPATIC BILIARY STENT PLACEMENT",3B,Existing,bile duct stricture percutaneous transhepatic biliary stent placement,-3.598884,7.639055
45,SI700L,"LAPAROSCOPY, THERAPEUTIC, EXCEPT FOR RETRIEVAL AND PLACEMENT OF GAMETES AND PLACEMENT OF EMBRYOS",3C,Existing,laparoscopy therapeutic except retrieval placement gamete placement embryo,1.0813063,8.149879
18,SL709C,"CORNEA, SUPERFICIAL KERATECTOMY",2A,Existing,cornea superficial keratectomy,-1.917975,10.898017
32,SM818E,"EAR, MICROTIA, CREATION OF POST-AURICULAR SULCUS WITH SKIN GRAFT",3C,Existing,ear microtia creation postauricular sulcus skin graft,-0.6125489,10.78168
253,SB745J,"JOINT, VARIOUS LESIONS, JOINT ASPIRATION/ARTHROCENTESIS/INJECTION",1A,Existing,joint various lesion joint aspirationarthrocentesisinjection,3.5600884,7.2295804
250,SF822M,"MOUTH, TUMOR, RADICAL EXCISION BIOPSY WITH RESECTION OF MANDIBLE AND LYMPH NODES AND RECONSTRUCTION",7C,Existing,mouth tumor radical excision biopsy resection mandible lymph node reconstruction,2.754303,14.304669
11,SL702C,"CORNEA, ASTIGMATIC KERATOTOMY (WITH OR WITHOUT LIMBAL RELAXING INCISIONS / GRAFT REFRACTIVE SURGERY)",3A,Existing,cornea astigmatic keratotomy without limbal relaxing incision graft refractive surgery,-1.7510899,10.87312
54,SD812A,"ARTERY (OTHERS), THROMBOSIS, ENDARTERECTOMY",4C,Existing,artery others thrombosis endarterectomy,0.60780925,9.808168
128,SM710S,"SINUSES, NASAL, ORO-ANTRAL FISTULA, CLOSURE",3A,Existing,sinus nasal oroantral fistula closure,4.4548726,12.237078
424,SB712S,"SHOULDER, SHOULDER SOFT TISSUE INJURY, DECOMPRESSION WITH EXCISION OF DISTAL CLAVICLE",5A,"Descriptor
change",shoulder shoulder soft tissue injury decompression excision distal clavicle,3.192836,6.569581
150,SI720V,"VULVA/VAGINA, VARIOUS LESIONS, COLPOSCOPY AND LASER VAPORISATION",1B,Existing,vulvavagina various lesion colposcopy laser vaporisation,-3.7600746,11.008685
63,SB700C,CALCANEUM FRACTURE EXTRA-ARTICULAR OPEN REDUCTION INTERNAL FIXATION,3C,Existing,calcaneum fracture extraarticular open reduction internal fixation,1.5668366,5.1770043
70,SH802V,"VAS DEFERENS, VARIOUS LESIONS, VARICOCELECTOMY (MICROSURGICAL)",3C,Existing,va deferens various lesion varicocelectomy microsurgical,9.791734,8.675689
4,SG703B,"BLADDER, VARIOUS LESIONS, IMAGE GUIDED SUPRAPUBIC CYSTOSTOMY",1C,Existing,bladder various lesion image guided suprapubic cystostomy,-1.4564819,8.302958
131,SK703S,"SPINE, FACET JOINT BLOCK (INJECTION OF ANAESTHETIC OR THERAPEUTIC SUBSTANCE), MORE THAN 3 JOINTS",2C,Existing,spine facet joint block injection anaesthetic therapeutic substance 3 joint,2.7947025,4.873617
165,SI814V,"VAGINA, PROLAPSE, OBLITERATION (COLPOCLEISIS)",3B,Existing,vagina prolapse obliteration colpocleisis,-2.7538881,10.323691
441,SB738S,"SPINE, PERCUTANEOUS DISC ABLATION, SINGLE LEVEL (EG IDET - INTRADISCAL ELECTROTHERMAL ANNULOPLASTY)",4A,Existing,spine percutaneous disc ablation single level eg idet intradiscal electrothermal annuloplasty,-1.6929097,5.64351
80,SM803M,"MASTOID, VARIOUS LESIONS, MASTOIDECTOMY (RADICAL/MODIFIED) WITH MYRINGOPLASTY",5C,Existing,mastoid various lesion mastoidectomy radicalmodified myringoplasty,-1.3469058,11.760195
121,SK806N,"NERVE-FACIAL, VARIOUS LESIONS, COMBINED MIDDLE FOSA AND TRANSMASTOID FACIAL NERVE DECOMPRESSION",7C,Existing,nervefacial various lesion combined middle fosa transmastoid facial nerve decompression,-0.40780047,9.81669
289,SB704K,"KNEE, LIGAMENTS/MENISCUS/CARTILAGE/BONE COMBINED, MIS LIGAMENT RECONSTRUCTION WITH MENISCECTOMY",5C,Existing,knee ligamentsmeniscuscartilagebone combined mi ligament reconstruction meniscectomy,2.6758337,7.670476
5,SK704A,"ARTERY, EXTRACRANIAL, VARIOUS LESIONS, PERCUTANEOUS TRANSCATHETER EMBOLIZATION",4B,Existing,artery extracranial various lesion percutaneous transcatheter embolization,0.103486635,9.249979
97,SI807U,"UTERUS, CONTRACEPTION, INTRAUTERINE CONTRACEPTIVE DEVICE INSERTION",MSP,Existing,uterus contraception intrauterine contraceptive device insertion,-4.220321,12.090551
147,SA851S,"SKIN AND SUBCUTANEOUS TISSUE, SINUS (SHALLOW<3CM), EXCISION WITH/WITHOUT BIOPSY",1B,Existing,skin subcutaneous tissue sinus shallow3cm excision withwithout biopsy,0.68281,12.001271
100,SG801U,"URETER, CALCULUS, URETEROLITHOTOMY",4A,Existing,ureter calculus ureterolithotomy,-1.4966834,8.902434
148,SK723S,"SPHENOPALATINE GANGLION - BLOCK, NEUROLYTIC",3C,Existing,sphenopalatine ganglion block neurolytic,2.5668507,4.111162
292,SF800R,"RECTUM, FOREIGN BODY, MANUAL REMOVAL",MSP,Existing,rectum foreign body manual removal,5.1672354,11.041871
101,SM718N,"NOSE, VARIOUS LESIONS, RHINOPLASTY (AUGMENTATION EXCLUDING COST OF IMPLANTS)",3B,Existing,nose various lesion rhinoplasty augmentation excluding cost implant,-1.4741914,12.287421
460,SB759S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS, POSTERIOR DECOMPRESSION AND/OR DISCECTOMY WITH INSERTION OF INTERSPINOUS DEVICE (1 SEGMENT) WITHOUT INSTRUMENTED FUSION",6B,Existing,spine excluding cervical spine various lesion posterior decompression andor discectomy insertion interspinous device 1 segment without instrumented fusion,-2.6512778,5.23452
157,SI806V,"VAGINA, FOREIGN BODY, REMOVAL",1A,Existing,vagina foreign body removal,5.166837,11.043953
187,SA892S,"SUBCUTANEOUS TISSUE (FACE), OBESITY, LIPOSUCTION",2C,Existing,subcutaneous tissue face obesity liposuction,1.1721188,11.611798
70,SF850A,"ABDOMINAL WALL, INGUINAL HERNIA (NEONATES), HERNIOTOMY (BILATERAL)",4C,Existing,abdominal wall inguinal hernia neonate herniotomy bilateral,-3.8068807,3.9447782
409,SB802P,"PATELLA, VARIOUS LESIONS, PATELLECTOMY",3A,Existing,patella various lesion patellectomy,-0.3001381,10.656952
92,SK725N,"NERVE (UPPER LIMB), GUYON'S TUNNEL SYNDROME, RELEASE (UNILATERAL)",3A,Existing,nerve upper limb guyons tunnel syndrome release unilateral,5.1063128,8.651927
198,SA905S,"SKIN, PRE-MALIGNANT LESIONS, EXCISION/VAPORISATION BY LASER AND OTHER ABLATIVE MODALITIES, THERAPEUTIC, SINGLE/MULTIPLE, WHERE UNDERTAKEN IN THE OPERATING THEATRE REQUIRING GENERAL ANAESTHESIA",1B,New,skin premalignant lesion excisionvaporisation laser ablative modality therapeutic singlemultiple undertaken operating theatre requiring general anaesthesia,0.90270835,12.473284
94,SB703F,"FEMUR, FRACTURE (COMPLEX INTRA-ARTICULAR), OPEN REDUCTION AND INTERNAL FIXATION (ORIF) WITH PLATE AND SCREWS",5C,Existing,femur fracture complex intraarticular open reduction internal fixation orif plate screw,1.7115752,5.2207756
11,SC802B,"BRONCHUS/TRACHEA, VARIOUS LESIONS, LASER APPLICATION",4A,Existing,bronchustrachea various lesion laser application,-0.1043609,12.668975
201,SB812H,"HAND, FOREIGN BODY (DEEP), REMOVAL WITH MOBILISATION OF NEUROVASCULAR BUNDLE",3A,Existing,hand foreign body deep removal mobilisation neurovascular bundle,5.1159573,11.037968
123,SA827S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, LOCAL FLAP TO MULTIPLE DIGITS (CROSS FINGER/THENAR/FLAG/ROTATION FLAP)",5A,Existing,skin subcutaneous tissue defect local flap multiple digit cross fingerthenarflagrotation flap,2.4955819,12.281002
3,SB702A,"ANKLE, LIGAMENTOUS INSTABILITY, RECONSTRUCTION OF LIGAMENTS",5A,"Descriptor
change",ankle ligamentous instability reconstruction ligament,2.8185241,8.1835
9,SD708A,"ARTERIOVENOUS FISTULA, LIGATION OF SIDE BRANCH",2A,Existing,arteriovenous fistula ligation side branch,1.5602586,6.413326
5,SG704B,"BLADDER, URACHAL FISTULA, MIS  EXCISION",4A,Existing,bladder urachal fistula mi excision,-1.5848632,8.408028
96,SI806U,"UTERUS, CONGENITAL ORGAN ABNORMALITY, PLASTIC REPAIR INCLUDING METROPLASTY",6A,Existing,uterus congenital organ abnormality plastic repair including metroplasty,-0.09392572,9.75825
58,SI812O,"OVARY, TUMOUR/CYST, CYSTECTOMY, COMPLEX UNILATERAL OR SIMPLE BILATERAL ( SINGLE>5CM, BILATERAL CYST <5CM, ADHESIONS)",4A,New,ovary tumourcyst cystectomy complex unilateral simple bilateral single5cm bilateral cyst 5cm adhesion,-1.4323465,9.332802
70,SI706U,"UTERUS, ENDOMETRIAL ABLATION (BALLOON)",2B,Existing,uterus endometrial ablation balloon,-4.1690335,12.091615
84,SM701N,"NOSE, CHOANAL ATRESIA, PLASTIC REPAIR",4A,Existing,nose choanal atresia plastic repair,-1.5217205,11.419984
76,SF702B,"BILE DUCTS, STRICTURE, PERCUTANEOUS TRANSHEPATIC BALLOON DILATATION",3B,Existing,bile duct stricture percutaneous transhepatic balloon dilatation,0.050025433,7.721728
24,SI700F,"FALLOPIAN TUBE, BLOCKED TUBE, FLUOROSCOPIC TRANSCERVICAL FALLOPIAN TUBAL RECANALISATION (FTR)",2C,Existing,fallopian tube blocked tube fluoroscopic transcervical fallopian tubal recanalisation ftr,0.7639763,15.232729
122,SI836U,"UTERUS, PREGNANCY, VAGINAL DELIVERY (WITH OR WITHOUT EPISIOTOMY REPAIR)",2B,Existing,uterus pregnancy vaginal delivery without episiotomy repair,-3.9765813,11.646949
28,SD727A,"ARTERY, VARIOUS LESIONS, ENDOVASCULAR STENT GRAFT / COVERED STENT PLACEMENT",3B,Existing,artery various lesion endovascular stent graft covered stent placement,1.2874755,7.8523626
25,SH813P,"PENIS, SEX REASSIGNMENT (FEMALE TO MALE), IMPLANTATION OF PENILE PROSTHESIS",2B,Existing,penis sex reassignment female male implantation penile prosthesis,-2.3206065,8.464864
442,SB739S,"SPINE, VERTEBROPLASTY OR KYPHOPLASTY (MULTIPLE LEVELS)",4C,Existing,spine vertebroplasty kyphoplasty multiple level,-1.7304891,5.6376114
2,SA701B,"BREAST, DUCTAL LESIONS, MICRODOCHECTOMY (BILATERAL)",3A,Existing,breast ductal lesion microdochectomy bilateral,0.82914054,13.350264
122,SL803L,"LACRIMAL GLAND, OBSTRUCTION, PROBING ONE/BOTH DUCTS",1B,Existing,lacrimal gland obstruction probing oneboth duct,-1.0796834,10.499162
499,SB813T,"TENDON-EXTENSOR (UPPER LIMB), INJURY, REPAIR (SINGLE)",2C,Existing,tendonextensor upper limb injury repair single,4.481842,8.311971
72,SH804V,"VAS DEFERENS, VARIOUS LESIONS, VASOEPIDIDYMOGRAPHY & VASOVESICULOGRAPHY",1B,Existing,va deferens various lesion vasoepididymography vasovesiculography,9.792925,8.674951
214,SF703M,"MOUTH, PERIODONTIUM (WITHIN 1 QUADRANT), PERIODONTITIS, OPEN FLAP DEBRIDEMENT",1B,Existing,mouth periodontium within 1 quadrant periodontitis open flap debridement,-5.674067,9.256357
102,SM719N,"NOSE, VARIOUS LESIONS, RHINOPLASTY (CORRECTION OF BONY VAULT ONLY)",4C,Existing,nose various lesion rhinoplasty correction bony vault,-1.4610012,12.332601
86,SG814K,"KIDNEY, VARIOUS LESIONS, BIOPSY (OPEN)",3A,Existing,kidney various lesion biopsy open,-1.9200983,9.251508
15,SK714A,"ARTERY, SPINAL, TUMOUR, PERCUTANEOUS TRANSCATHETER EMBOLIZATION",4B,Existing,artery spinal tumour percutaneous transcatheter embolization,0.11434442,9.312282
59,SF839A,"ANUS, INCONTINENCE, OPERATION",4A,Existing,anus incontinence operation,-1.2087051,6.9802446
71,SM800L,"LABYRINTH, VARIOUS LESIONS, DESTRUCTION/LABYRINTHOTOMY",5C,Existing,labyrinth various lesion destructionlabyrinthotomy,-0.29273087,10.671905
67,SH810T,"TESTIS, VARIOUS LESIONS, ORCHIDOPLASTY",1C,Existing,testis various lesion orchidoplasty,-0.9722219,9.353128
160,SK737S,"SPINE, PERCUTANEOUS IMPLANT OF SPINAL CORD STIMULATOR, (TRIAL), SINGLE LEAD",3B,Existing,spine percutaneous implant spinal cord stimulator trial single lead,-2.2035024,10.177964
464,SB802S,"SHOULDER, VARIOUS LESIONS, HEMIARTHROPLASTY",5C,Existing,shoulder various lesion hemiarthroplasty,3.2644026,6.610585
484,SB709T,"TOES, TOE DEFORMITY",1C,Existing,toe toe deformity,3.2453928,8.994522
180,SF804I,"INTESTINE, TOTAL AGANGLIONOSIS, RECONSTRUCTION",6B,Existing,intestine total aganglionosis reconstruction,-0.51537573,7.477204
118,SB732F,"FOOT, HALLUX VALGUS/HAMMER TOE, PROXIMAL OSTEOTOMY, WITH OR WITHOUT SOFT TISSUE RECONSTRUCTION",3C,Existing,foot hallux valgushammer toe proximal osteotomy without soft tissue reconstruction,1.9349651,11.281876
449,SB748S,"SPINE, INFECTION, POSTERIOR DRAINAGE AND DEBRIDEMENT WITHOUT FUSION OR OTHER PROCEDURES",3C,Existing,spine infection posterior drainage debridement without fusion procedure,-2.365157,5.665045
357,SF818T,"TOOTH (MULTIPLE-ROOTED OR MORE THAN 1 TOOTH), VARIOUS LESIONS, PERI-RADICULAR SURGERY",3A,Existing,tooth multiplerooted 1 tooth various lesion periradicular surgery,-0.40330562,8.970711
45,SG702K,"KIDNEY, CYST, IMAGING GUIDED PERCUTANEOUS ALCOHOL ABLATION",2B,Existing,kidney cyst imaging guided percutaneous alcohol ablation,-1.43584,9.824921
510,SB824T,"THUMB, PARALYSIS, OPPONENS PLASTY",4B,Existing,thumb paralysis opponens plasty,-0.30732855,10.244671
205,SF810L,"LIVER, TRAUMA/TUMOR, HEPATIC ARTERY LIGATION",4B,Existing,liver traumatumor hepatic artery ligation,-1.9235443,7.6902046
131,SI845U,"UTERUS, PREGNANCY AND MULTIPARITY, COMPLICATED CAESAREAN SECTION AND TUBAL LIGATION (SEE FOOTNOTE FOR DEFINITION OF 'COMPLICATED')",4C,Existing,uterus pregnancy multiparity complicated caesarean section tubal ligation see footnote definition complicated,-4.047842,11.833317
146,SD827H,"HEART, VARIOUS LESIONS, BALLOON ATRIAL SEPTOSTOMY",4A,Existing,heart various lesion balloon atrial septostomy,0.86729914,7.2678194
229,SF801M,"MOUTH, ABSCESS, (SUPERFICIAL), DRAINAGE",1A,Existing,mouth abscess superficial drainage,0.676354,14.359291
323,SF808S,"STOMACH, TUMOR/ULCER, GASTROJEJUNOSTOMY",4A,Existing,stomach tumorulcer gastrojejunostomy,-0.6951862,8.477597
331,SF702T,"TOOTH, UNERUPTED/PARTIALLY ERUPTED/IMPACTED, SURGICAL EXPOSURE AND BONDING FOR TRACTION AND ASSISTED ERUPTION",2C,Existing,tooth uneruptedpartially eruptedimpacted surgical exposure bonding traction assisted eruption,-0.5147083,8.932798
62,SG720K,"KIDNEY, VARIOUS LESIONS, PARTIAL NEPHRECTOMY, LAPARASCOPIC",6A,Existing,kidney various lesion partial nephrectomy laparascopic,-1.9574922,9.17572
200,SK702V,"VEIN, INTRAVENOUS SYMPATHETIC, BIER’S BLOCK",1B,Existing,vein intravenous sympathetic bier block,-0.22326355,9.901996
95,SG707U,"URETER, VARIOUS LESIONS, PERCUTANEOUS ANTEGRADE INSERTION OF DOUBLE J STENT",2C,Existing,ureter various lesion percutaneous antegrade insertion double j stent,-4.487579,9.328866
26,SI702F,"FALLOPIAN TUBE, FALLOPOSCOPY",2B,Existing,fallopian tube falloposcopy,0.7451241,15.213143
277,SF807P,"PANCREAS, VARIOUS LESIONS, DISTAL PANCREATECTOMY/ANASTOMOSIS OF PANCREATIC DUCT",5C,Existing,pancreas various lesion distal pancreatectomyanastomosis pancreatic duct,-0.07445495,9.053586
92,SM709N,"NOSE, POST-NASAL SPACE, LASER APPLICATION",4A,Existing,nose postnasal space laser application,-0.12019397,12.657104
108,SM725N,"NOSE, DRUG-INDUCED SLEEP ENDOSCOPY",1B,New,nose druginduced sleep endoscopy,0.65238905,9.020455
6,SI705C,"CERVIX, TRANSCERVICAL RESECTION (TCR) POLYP (>2CM), HYSTEROSCOPIC",2C,Existing,cervix transcervical resection tcr polyp 2cm hysteroscopic,-2.828116,9.691465
